Commit A,Commit B,Benchmark,Del Func >= X,New Func >= X,Reached Del Func >= X,Top Chg by Call >= X%,Top > X% by Call Chg by >= 10%,Top Chg by Instr >= X%,Top Chg Len >= X%,Top Reached Chg Len >= X%,Hit/Dismiss
d9545c7f,8f449614,p0000-perf-lib-sanity.sh-perf-report,983,515,7,0.07,0.03,False,1.0,1.0,0
d9545c7f,8f449614,p0001-rev-list.sh-perf-report,983,515,16,12.49,3.2,False,1.0,1.0,0
d9545c7f,8f449614,p0002-read-cache.sh-perf-report,983,515,0,0,0,False,1.0,0.3125,0
d9545c7f,8f449614,p4000-diff-algorithms.sh-perf-report,983,515,14,0.22,0.14,False,1.0,1.0,0
d9545c7f,8f449614,p4001-diff-no-index.sh-perf-report,983,515,3,0.04,0.04,False,1.0,1.0,0
d9545c7f,8f449614,p4211-line-log.sh-perf-report,983,515,9,0.72,0.72,False,1.0,1.0,0
d9545c7f,8f449614,p5302-pack-index.sh-perf-report,983,515,20,0.26,0.07,False,1.0,1.0,0
d9545c7f,8f449614,p5310-pack-bitmaps.sh-perf-report,983,515,25,4.88,1.3,False,1.0,1.0,0
d9545c7f,8f449614,p7000-filter-branch.sh-perf-report,983,515,45,5.21,2.59,False,1.0,1.0,0
d9545c7f,8f449614,p7300-clean.sh-perf-report,983,515,10,10.54,0.42,False,1.0,1.0,0
d9545c7f,8f449614,p7810-grep.sh-perf-report,983,515,6,0.03,0.03,False,1.0,1.0,0
8f449614,12913a78,p0000-perf-lib-sanity.sh-perf-report,569,995,5,0.23,0.23,False,1.0,1.0,0
8f449614,12913a78,p0001-rev-list.sh-perf-report,569,995,12,12.7,3.05,False,1.0,1.0,0
8f449614,12913a78,p0002-read-cache.sh-perf-report,569,995,1,0,0,False,1.0,0.25,0
8f449614,12913a78,p4000-diff-algorithms.sh-perf-report,569,995,10,1.99,0.6,False,1.0,1.0,0
8f449614,12913a78,p4001-diff-no-index.sh-perf-report,569,995,3,0.06,0.02,False,1.0,1.0,1
8f449614,12913a78,p4211-line-log.sh-perf-report,569,995,6,7.68,0.47,False,1.0,1.0,0
8f449614,12913a78,p5302-pack-index.sh-perf-report,569,995,18,0.4,0.4,False,1.0,1.0,0
8f449614,12913a78,p5310-pack-bitmaps.sh-perf-report,569,995,26,4.38,1.07,False,1.0,1.0,0
8f449614,12913a78,p7810-grep.sh-perf-report,569,995,7,0.03,0.03,False,1.0,1.0,0
bb0ba997,7a3eb9e2,p0000-perf-lib-sanity.sh-perf-report,0,1,0,0,0,False,0,0,1
bb0ba997,7a3eb9e2,p0001-rev-list.sh-perf-report,0,1,0,0,0,False,0,0,1
bb0ba997,7a3eb9e2,p0002-read-cache.sh-perf-report,0,1,0,0,0,False,0,0,0
bb0ba997,7a3eb9e2,p4000-diff-algorithms.sh-perf-report,0,1,0,0,0,False,0,0,0
bb0ba997,7a3eb9e2,p4001-diff-no-index.sh-perf-report,0,1,0,0,0,False,0,0,0
bb0ba997,7a3eb9e2,p4211-line-log.sh-perf-report,0,1,0,0,0,False,0,0,0
bb0ba997,7a3eb9e2,p5302-pack-index.sh-perf-report,0,1,0,0,0,False,0,0,0
bb0ba997,7a3eb9e2,p5310-pack-bitmaps.sh-perf-report,0,1,0,0,0,False,0,0,0
bb0ba997,7a3eb9e2,p7000-filter-branch.sh-perf-report,0,1,0,0,0,False,0,0,0
bb0ba997,7a3eb9e2,p7300-clean.sh-perf-report,0,1,0,0,0,False,0,0,0
bb0ba997,7a3eb9e2,p7810-grep.sh-perf-report,0,1,0,0,0,False,0,0,0
dcde8b3d,2fc0f184,p0000-perf-lib-sanity.sh-perf-report,8,8,0,0,0,False,0,0,0
dcde8b3d,2fc0f184,p0001-rev-list.sh-perf-report,8,8,0,0,0,False,0,0,0
dcde8b3d,2fc0f184,p0002-read-cache.sh-perf-report,8,8,0,0,0,False,0,0,0
dcde8b3d,2fc0f184,p4000-diff-algorithms.sh-perf-report,8,8,0,0,0,False,0,0,0
dcde8b3d,2fc0f184,p4001-diff-no-index.sh-perf-report,8,8,0,0,0,False,0,0,0
dcde8b3d,2fc0f184,p4211-line-log.sh-perf-report,8,8,0,0,0,False,0,0,0
dcde8b3d,2fc0f184,p5302-pack-index.sh-perf-report,8,8,0,0,0,False,0,0,0
dcde8b3d,2fc0f184,p5310-pack-bitmaps.sh-perf-report,8,8,0,0,0,False,0,0,0
dcde8b3d,2fc0f184,p7000-filter-branch.sh-perf-report,8,8,0,0,0,False,0,0,0
dcde8b3d,2fc0f184,p7300-clean.sh-perf-report,8,8,0,0,0,False,0,0,0
dcde8b3d,2fc0f184,p7810-grep.sh-perf-report,8,8,0,0,0,False,0,0,0
