Kind,Name,File,MaxInheritanceTree,PercentLackOfCohesion,CountClassCoupled,CountClassDerived,CountDeclMethodAll,SumCyclomatic
Struct,"DIR",git/compat/win32/dirent.c,0,0,1,0,0,0
Struct,"_CREDENTIALW",git/contrib/credential/wincred/git-credential-wincred.c,0,0,1,0,0,0
Struct,"_CREDENTIAL_ATTRIBUTEW",git/contrib/credential/wincred/git-credential-wincred.c,0,0,0,0,0,0
Struct,"_obstack_chunk",git/compat/obstack.h,0,0,0,0,0,0
Struct,"_utimbuf",git/compat/vcbuild/include/sys/utime.h,0,0,0,0,0,0
Struct,"active_request_slot",git/http.h,0,0,1,0,0,0
Struct,"add_opts",git/builtin/worktree.c,0,0,0,0,0,0
Struct,"align",git/ref-filter.c,0,0,0,0,0,0
Struct,"all_attrs_item",git/attr.c,0,0,2,0,0,0
Struct,"all_refs_cb",git/revision.c,0,0,2,0,0,0
Struct,"alloc_state",git/alloc.c,0,0,0,0,0,0
Struct,"alt_base",git/http-walker.c,0,0,1,0,0,0
Struct,"alternate_object_cache",git/fetch-pack.c,0,0,1,0,0,0
Struct,"alternate_object_database",git/object-store.h,0,0,2,0,0,0
Struct,"alternate_refs_data",git/transport.c,0,0,0,0,0,0
Struct,"alternates_request",git/http-walker.c,0,0,3,0,0,0
Struct,"am_state",git/builtin/am.c,0,0,2,0,0,0
Struct,"anonymized_entry",git/builtin/fast-export.c,0,0,1,0,0,0
Union,"any_object",git/alloc.c,0,0,5,0,0,0
Struct,"apply_state",git/apply.h,0,0,3,0,0,0
Struct,"archiver",git/archive.h,0,0,0,0,0,0
Struct,"archiver_args",git/archive.h,0,0,3,0,0,0
Struct,"archiver_context",git/archive.c,0,0,2,0,0,0
Struct,"arg_item",git/trailer.c,0,0,2,0,0,0
Struct,"argv_array",git/argv-array.h,0,0,0,0,0,0
Struct,"async",git/run-command.h,0,0,0,0,0,0
Struct,"atfork_state",git/run-command.c,0,0,0,0,0,0
Struct,"atom_str",git/fast-import.c,0,0,0,0,0,0
Struct,"atom_value",git/ref-filter.c,0,0,1,0,0,0
Struct,"attr_check",git/attr.h,0,0,3,0,0,0
Struct,"attr_check_item",git/attr.h,0,0,1,0,0,0
Struct,"attr_hash_entry",git/attr.c,0,0,1,0,0,0
Struct,"attr_hashmap",git/attr.c,0,0,1,0,0,0
Struct,"attr_stack",git/attr.c,0,0,1,0,0,0
Struct,"attr_state",git/attr.c,0,0,1,0,0,0
Struct,"author_date_slab",git/commit.c,0,0,0,0,0,0
Struct,"avail_tree_content",git/fast-import.c,0,0,0,0,0,0
Struct,"base_data",git/builtin/index-pack.c,0,0,1,0,0,0
Struct,"base_tree_info",git/builtin/log.c,0,0,1,0,0,0
Struct,"batch_options",git/builtin/cat-file.c,0,0,0,0,0,0
Struct,"bidirectional_transfer_state",git/transport-helper.c,0,0,1,0,0,0
Struct,"bin_tree_storage_t",git/compat/regex/regex_internal.h,0,0,1,0,0,0
Struct,"bin_tree_t",git/compat/regex/regex_internal.h,0,0,1,0,0,0
Struct,"bitmap",git/ewah/ewok.h,0,0,0,0,0,0
Struct,"bitmap_disk_header",git/pack-bitmap.h,0,0,0,0,0,0
Struct,"bitmap_index",git/pack-bitmap.c,0,0,4,0,0,0
Public Struct,"bitmap_index::eindex",git/pack-bitmap.c,0,0,1,0,0,0
Struct,"bitmap_test_data",git/pack-bitmap.c,0,0,2,0,0,0
Struct,"bitmap_writer",git/pack-bitmap-write.c,0,0,4,0,0,0
Struct,"bitmapped_commit",git/pack-bitmap-write.c,0,0,2,0,0,0
Struct,"blame_chunk_cb_data",git/blame.c,0,0,2,0,0,0
Struct,"blame_entry",git/blame.h,0,0,1,0,0,0
