Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Static Function,"AllocCache(nedpool *)",git/compat/nedmalloc/nedmalloc.c,,,,0,28,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,28,0,24,3,16,1,2,2,11,12,1,19,24,2,2,20,6,6,7,3,2,,,,,2,,1,2,,0.04,,,,
Function,"BUG_fl(const char *,int,const char *,...)",git/usage.c,,,,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223,7,0,7,2,3,0,0,0,3,1,0,4,4,1,0,3,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Static Function,"BUG_vfl(const char *,int,const char *,va_list)",git/usage.c,,,,2,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,15,2,12,2,8,1,0,0,4,4,1,6,8,1,0,7,3,3,3,1,1,,,,,0,,1,0,,0.08,,,,
Struct,"DIR",git/compat/win32/dirent.c,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,1,0,,0,0,,,,,0,3,0,0,3,0,0,0,0,0,0,0,,5,0,5,4,0,3,0,0,,,,,3,3,0,0,,,,,,0,0,0,0,,0,0,,0,0.60,0,0,0,0
Static Function,"DestroyCaches(nedpool *)",git/compat/nedmalloc/nedmalloc.c,,,,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,21,0,21,3,10,0,0,0,8,5,1,11,15,2,0,13,5,5,5,1,0,,,,,0,,4,0,,0.00,,,,
Static Function,"FindMSpace(nedpool *,threadcache *,int *,size_t)",git/compat/nedmalloc/nedmalloc.c,,,,0,47,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,55,0,47,4,28,10,0,0,13,81,2,26,36,3,0,33,11,11,13,8,17,,,,,17,,2,16,,0.21,,,,
Static Function,"GetMSpace(nedpool *,threadcache *,int,size_t)",git/compat/nedmalloc/nedmalloc.c,,,,0,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,8,0,7,2,4,2,0,0,4,4,1,4,6,1,0,5,3,3,3,1,0,,,,,0,,1,0,,0.29,,,,
Static Function,"GetThreadCache(nedpool **,threadcache **,int *,size_t *)",git/compat/nedmalloc/nedmalloc.c,,,,0,43,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,43,0,34,2,20,1,7,2,11,120,2,15,24,1,0,23,10,10,11,1,3,,,,,0,,3,0,,0.03,,,,
Static Function,"InitPool(nedpool *,size_t,int)",git/compat/nedmalloc/nedmalloc.c,,,,0,30,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,30,0,30,2,21,2,0,0,16,16,1,21,29,0,3,26,10,10,12,5,10,,,,,10,,2,10,,0.07,,,,
Static Function,"Q_(const char *,const char *,unsigned long)",git/gettext.h,,,,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,7,0,7,2,3,0,0,0,2,2,0,2,3,0,0,3,2,2,2,1,1,,,,,0,,1,0,,0.00,,,,
