abv_commit,commit,AltCountLineBlank,AltCountLineCode,AltCountLineComment,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxNesting,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment
d9545c7,d9545c7f465ed103df44cd93caddfdd265757779,27121,167327,30654,223035,26565,154460,39280,104630,29591,6727,8790,87044.0,120295,30035,953,89307,34858.0,33823.0,41246.0,17674.0,113.0,112.0,154.0,13,1.9109848484848484,16.329545454545453,1.4981060606060606,3.9924242424242418,3.8939393939393936,4.757575757575758,1.6912878787878791,19.579545454545453,1.8977272727272727,16.136363636363637,1.4848484848484849
8f44961,8f4496148b643f48ec969f48fdaf5d6d8e6153ed,25266,157755,27847,208875,24720,145476,36800,98552,26823,6559,8284,82392.0,113747,28359,924,84464,32854.0,31888.0,38978.0,16706.0,112.0,111.0,154.0,13,1.90138067061144,16.327416173570022,1.5364891518737671,4.017751479289942,3.9171597633136095,4.777120315581853,1.7396449704142012,19.607495069033533,1.8895463510848127,16.140039447731755,1.5226824457593688
bb0ba99,bb0ba9974314da72bba9a6200fa3bd61c4d9eab4,27274,168121,30794,224117,26718,155252,39509,105166,29731,6725,8795,87473.0,120860,30189,949,89722,35002.0,33967.0,41412.0,17757.0,117.0,116.0,154.0,13,1.9053030303030305,16.333333333333332,1.4981060606060606,3.996212121212121,3.899621212121212,4.755681818181818,1.693181818181818,19.57386363636364,1.893939393939394,16.136363636363637,1.4848484848484849
dcde8b3,dcde8b3dcd8d4411a2311fa0a93ca4ca3b26d61f,27276,168135,30794,224133,26720,155266,39520,105169,29731,6725,8795,87479.0,120867,30195,949,89723,35003.0,33968.0,41413.0,17758.0,117.0,116.0,154.0,13,1.9053030303030305,16.333333333333332,1.4981060606060606,3.996212121212121,3.899621212121212,4.755681818181818,1.693181818181818,19.57386363636364,1.893939393939394,16.136363636363637,1.4848484848484849
2fc0f18,2fc0f1849bd0d6100719bb53f89f15fbd734157a,27278,168151,30794,224151,26722,155282,39532,105171,29731,6725,8795,87482.0,120870,30197,949,89724,35003.0,33968.0,41413.0,17758.0,117.0,116.0,154.0,13,1.9053030303030305,16.333333333333332,1.4981060606060606,3.996212121212121,3.899621212121212,4.755681818181818,1.693181818181818,19.57386363636364,1.893939393939394,16.136363636363637,1.4848484848484849
2e3926b,2e3926b9489cb767b38526a3a72403087053a1d8,27106,167311,30633,222985,26550,154447,39273,104629,29574,6721,8789,87028.0,120269,30029,952,89288,34856.0,33821.0,41245.0,17667.0,113.0,112.0,154.0,13,1.9109848484848484,16.323863636363637,1.4924242424242424,3.9924242424242418,3.892045454545455,4.755681818181818,1.6912878787878791,19.57007575757576,1.8977272727272727,16.12878787878788,1.4791666666666667
05a5869,05a5869a01779e6fb55535aff9b01716aac42dcf,27106,167275,30631,222947,26550,154411,39274,104593,29572,6721,8789,87022.0,120259,30030,952,89277,34844.0,33809.0,41233.0,17667.0,113.0,112.0,154.0,13,1.9109848484848484,16.321969696969695,1.4924242424242424,3.9924242424242418,3.892045454545455,4.755681818181818,1.6912878787878791,19.568181818181817,1.8977272727272727,16.12878787878788,1.4791666666666667
577dfd0,577dfd03024f1913c6eba63b43a56d254e694347,27274,168117,30794,224113,26718,155248,39509,105164,29731,6725,8795,87472.0,120858,30189,949,89720,35000.0,33965.0,41410.0,17757.0,117.0,116.0,154.0,13,1.9053030303030305,16.331439393939394,1.4981060606060606,3.9943181818181817,3.897727272727273,4.753787878787879,1.6912878787878791,19.571969696969692,1.893939393939394,16.134469696969695,1.4848484848484849
90a78b8,90a78b83e0b812d1f42501a54372720def4ddd84,25393,158341,28287,210026,24846,145984,36879,98935,27241,6609,8346,82580.0,114064,28401,928,84735,32984.0,32016.0,39159.0,16786.0,113.0,112.0,154.0,13,1.90138067061144,16.386587771203153,1.5266272189349113,4.0276134122287965,3.9329388560157788,4.808678500986193,1.7455621301775148,19.631163708086785,1.8875739644970413,16.179487179487182,1.5108481262327416
268ef4d,268ef4d3d07e4cf9909ac060b63b195509391190,27274,168117,30794,224113,26718,155248,39509,105164,29731,6725,8795,87472.0,120858,30189,949,89720,35000.0,33965.0,41410.0,17757.0,117.0,116.0,154.0,13,1.9053030303030305,16.331439393939394,1.4981060606060606,3.9943181818181817,3.897727272727273,4.753787878787879,1.6912878787878791,19.571969696969692,1.893939393939394,16.134469696969695,1.4848484848484849
d66f68f,d66f68ff985f494f3122ab05b532c6e41884ad64,27135,167391,30694,223152,26579,154530,39305,104665,29631,6725,8787,87081.0,120338,30054,952,89332,34865.0,33830.0,41251.0,17687.0,113.0,112.0,154.0,13,1.9090909090909087,16.34280303030303,1.5,3.9943181818181817,3.897727272727273,4.757575757575758,1.693181818181818,19.58712121212121,1.8977272727272727,16.151515151515152,1.4867424242424243
7a7d085,7a7d0854ff3cb1bc5b95e9295b9c11089d9a75a6,27327,168418,30847,224520,26771,155546,39569,105403,29784,6725,8798,87623.0,121067,30234,949,89884,35066.0,34026.0,41489.0,17775.0,117.0,116.0,154.0,13,1.9034090909090908,16.331439393939394,1.4981060606060606,3.996212121212121,3.899621212121212,4.753787878787879,1.6912878787878791,19.571969696969692,1.8920454545454544,16.132575757575758,1.4848484848484849
8648eac,8648eacc1d45a7d25cb4d293549bbe6ae17cbd81,27317,168382,30846,224473,26761,155509,39563,105376,29783,6725,8799,87607.0,121042,30229,949,89864,35057.0,34017.0,41480.0,17772.0,117.0,116.0,154.0,13,1.9034090909090908,16.335227272727273,1.4981060606060606,3.996212121212121,3.899621212121212,4.753787878787879,1.6912878787878791,19.579545454545453,1.8920454545454544,16.136363636363637,1.4848484848484849
5bfc50d,5bfc50d6fe58ec38f55efff43220dc3274b4629b,27322,168378,30850,224478,26766,155505,39572,105356,29787,6724,8800,87624.0,121066,30238,949,89879,35064.0,34024.0,41486.0,17778.0,117.0,116.0,154.0,13,1.9034090909090908,16.331439393939394,1.4981060606060606,3.998106060606061,3.899621212121212,4.7518939393939394,1.693181818181818,19.579545454545453,1.8920454545454544,16.134469696969695,1.4848484848484849
1f66975,1f66975deb8402131fbf7c14330d0c7cdebaeaa2,27330,168446,30862,224566,26774,155574,39584,105408,29799,6724,8799,87658.0,121120,30246,949,89925,35086.0,34046.0,41527.0,17790.0,117.0,116.0,154.0,13,1.9053030303030305,16.333333333333332,1.4981060606060606,3.998106060606061,3.899621212121212,4.7518939393939394,1.6950757575757576,19.58333333333333,1.893939393939394,16.136363636363637,1.4848484848484849
f4beed6,f4beed60d5ef3fdbd31ac5bd3162182fdf2bf0d3,27135,167394,30694,223155,26579,154533,39306,104666,29631,6725,8787,87083.0,120340,30055,952,89333,34865.0,33830.0,41253.0,17687.0,113.0,112.0,154.0,13,1.9090909090909087,16.34280303030303,1.5,3.9943181818181817,3.897727272727273,4.757575757575758,1.693181818181818,19.58712121212121,1.8977272727272727,16.151515151515152,1.4867424242424243
3f215b0,3f215b03289ff594f3e4aba7c7a4b774dc4c226e,27181,167644,30694,223453,26625,154769,39395,104844,29631,6729,8798,87193.0,120493,30094,953,89446,34908.0,33873.0,41304.0,17693.0,113.0,112.0,154.0,13,1.9090909090909087,16.320075757575758,1.5,3.990530303030303,3.892045454545455,4.7518939393939394,1.6912878787878791,19.5625,1.8958333333333333,16.125,1.4867424242424243
e6273f4,e6273f4da51287363137a24200dd43b87c801b3d,27135,167391,30694,223152,26579,154530,39305,104665,29631,6725,8787,87081.0,120338,30054,952,89332,34865.0,33830.0,41251.0,17687.0,113.0,112.0,154.0,13,1.9090909090909087,16.34280303030303,1.5,3.9943181818181817,3.897727272727273,4.757575757575758,1.693181818181818,19.58712121212121,1.8977272727272727,16.151515151515152,1.4867424242424243
